teencode,standard
a,anh
acc,account
ace,anh chị em
ad,admin
ae,anh em
ah,à
ah,à
àh,à
ạh,ạ
ak,á
ák,á
àk,à
ạk,ạ
atrai,anh trai
atsm,ảo tưởng sức mạnh
aye,anh yêu em
bằg,bằng
baoh,bao giờ
bbè,bạn bè
bgái,bạn gái
biet,biết
biêt,biết
bìh,bình
bik,biết
bme,bố mẹ
bn,bạn
bn,bao nhiêu
bnhiêu,bao nhiêu
bnhiu,bao nhiêu
bóg,bóng
bsĩ,bác sĩ
bsvv,buổi sáng vui vẻ
bth,bình thường
bthường,bình thường
bt,bình thường
btrai,bạn trai
buôg,buông
c,chị
càg,càng
cbị,chuẩn bị
cđời,cuộc đời
ce,chị em
cgai,con gái
cgái,con gái
chàg,chàng
chăg,chăng
chk,chồng
chs,chẳng hiểu sao
chta,chúng ta
chuện,chuyện
chug,chung
chúg,chúng
cj,chị
ck,chồng
cka,cha
clmm,cái lồn mẹ mày
cmày,chúng mày
cmm,con mẹ mày
cmn,con mẹ nó
cmnd,chứng minh nhân dân
cmnr,con mẹ nó rồi
cmt,comment
csong,cuộc sống
csống,cuộc sống
cta,chúng ta
ctác,công tác
ctr,chương trình
ctrai,con trai
ctraj,con trai
ctrinh,chương trình
chòi oi,trời ơi
chời ơi,trời ơi
ctrình,chương trình
cty,công ty
cùg,cùng
cũg,cũng
cũng z,cũng vậy
cv,công việc
cviec,công việc
cx,cũng
đag,đang
đág,đáng
dàh,dành
đáh,đánh
đbh,đéo bao giờ
dc,được
dc,được
đc,được
đc,được
đcsvn,đảng cộng sản việt nam
đhbkhn,đại học bách khoa hà nội
đhkhtn,đại học khoa học tự nhiên
đhọc,đại học
đhs,đéo hiểu sao
địh,định
đii,đi
điiiiiii,đi
đjên,điên
đki,đăng ký
đkiện,điều kiện
dky,đăng ký
đky,đăng ký
dòg,dòng
đóg,đóng
đôg,đông
đồg,đồng
độg,động
đt,điện thoại
đthoai,điện thoại
đthoại,điện thoại
dthương,dễ thương
đtqg,đội tuyển quốc gia
